[s],CH2[V]
-4.3295E-02,2.6391226127E-02
-4.3290E-02,2.6215034801E-02
-4.3285E-02,2.5894018496E-02
-4.3280E-02,2.7027689278E-02
-4.3274E-02,2.6510120701E-02
-4.3269E-02,2.8525892522E-02
-4.3264E-02,2.5772940008E-02
-4.3259E-02,2.8842540998E-02
-4.3254E-02,2.5763021795E-02
-4.3249E-02,2.6857277218E-02
-4.3244E-02,2.8239504131E-02
-4.3239E-02,2.8302141459E-02
-4.3233E-02,2.5461584424E-02
-4.3228E-02,2.9977632754E-02
-4.3223E-02,2.4751345029E-02
-4.3218E-02,2.9067026390E-02
-4.3213E-02,2.7352834992E-02
-4.3208E-02,2.6437832189E-02
-4.3203E-02,2.6409927679E-02
-4.3198E-02,2.5707956641E-02
-4.3192E-02,2.8466888693E-02
-4.3187E-02,2.6271616296E-02
-4.3182E-02,2.6113010724E-02
-4.3177E-02,2.6849237744E-02
-4.3172E-02,2.5735546438E-02
-4.3167E-02,2.6975380243E-02
-4.3162E-02,2.5006176338E-02
-4.3157E-02,2.7644830987E-02
-4.3152E-02,2.8704773209E-02
-4.3146E-02,2.7493921567E-02
-4.3141E-02,2.5878340091E-02
-4.3136E-02,2.6365152671E-02
-4.3131E-02,2.5494676922E-02
-4.3126E-02,2.8192936215E-02
-4.3121E-02,2.6729885405E-02
-4.3116E-02,2.5190464358E-02
-4.3111E-02,2.6048961959E-02
-4.3105E-02,2.6531130146E-02
-4.3100E-02,2.4550749178E-02
-4.3095E-02,2.5459047650E-02
-4.3090E-02,2.5944420183E-02
-4.3085E-02,2.6735645598E-02
-4.3080E-02,2.5770927755E-02
-4.3075E-02,2.5966574036E-02
-4.3070E-02,2.7586408900E-02
-4.3064E-02,2.4885851252E-02
-4.3059E-02,2.4124895458E-02
-4.3054E-02,2.5094162328E-02
-4.3049E-02,2.7005039513E-02
-4.3044E-02,2.6221958476E-02
-4.3039E-02,2.4855181086E-02
-4.3034E-02,2.7560268688E-02
-4.3029E-02,2.5023275718E-02
-4.3024E-02,2.6197315532E-02
-4.3018E-02,2.7006374657E-02
-4.3013E-02,2.6009756409E-02
-4.3008E-02,2.6270366983E-02
-4.3003E-02,2.4227434518E-02
-4.2998E-02,2.4063431150E-02
-4.2993E-02,2.6043907485E-02
-4.2988E-02,2.8665167116E-02
-4.2983E-02,2.5891882266E-02
-4.2977E-02,2.7115808782E-02
-4.2972E-02,2.6848570171E-02
-4.2967E-02,2.6231075602E-02
-4.2962E-02,2.6367203071E-02
-4.2957E-02,2.5878311480E-02
-4.2952E-02,2.6286970453E-02
-4.2947E-02,2.9654546976E-02
-4.2942E-02,2.8287884028E-02
-4.2936E-02,2.7516552258E-02
-4.2931E-02,2.6380831077E-02
-4.2926E-02,2.4766317716E-02
-4.2921E-02,2.6661125489E-02
-4.2916E-02,2.6949211420E-02
-4.2911E-02,2.6973654092E-02
-4.2906E-02,2.6798664396E-02
-4.2901E-02,2.7307487779E-02
-4.2896E-02,2.6537538837E-02
-4.2890E-02,2.9046322121E-02
-4.2885E-02,3.3731638102E-02
-4.2880E-02,3.1061655252E-02
-4.2875E-02,3.5108457682E-02
-4.2870E-02,3.9968410500E-02
-4.2865E-02,3.9639974610E-02
-4.2860E-02,4.7735362841E-02
-4.2855E-02,4.7385078273E-02
-4.2849E-02,4.5833383437E-02
-4.2844E-02,6.3605752425E-02
-4.2839E-02,7.1152777937E-02
-4.2834E-02,6.1831193444E-02
-4.2829E-02,4.9906545425E-02
-4.2824E-02,7.2116418128E-02
-4.2819E-02,6.1009030834E-02
-4.2814E-02,6.7026067137E-02
-4.2808E-02,6.1999450199E-02
-4.2803E-02,7.0970721514E-02
-4.2798E-02,7.0363889023E-02
-4.2793E-02,5.7248015979E-02
-4.2788E-02,7.2769561043E-02
-4.2783E-02,6.9182849239E-02
-4.2778E-02,6.1704679012E-02
-4.2773E-02,6.5153336924E-02
-4.2768E-02,6.2688050724E-02
-4.2762E-02,5.5562806743E-02
-4.2757E-02,5.7496820066E-02
-4.2752E-02,5.0041862271E-02
-4.2747E-02,5.5839086186E-02
-4.2742E-02,6.3586039977E-02
-4.2737E-02,4.4296012790E-02
-4.2732E-02,5.9697709604E-02
-4.2727E-02,5.9749913735E-02
-4.2721E-02,5.8822951857E-02
-4.2716E-02,7.7693839192E-02
-4.2711E-02,5.3829322513E-02
-4.2706E-02,6.5921864891E-02
-4.2701E-02,4.3568807530E-02
-4.2696E-02,5.8514171194E-02
-4.2691E-02,7.3069339021E-02
-4.2686E-02,4.9702125340E-02
-4.2680E-02,5.7990518175E-02
-4.2675E-02,4.9974342131E-02
-4.2670E-02,5.2457671848E-02
-4.2665E-02,4.8370109379E-02
-4.2660E-02,4.6374717577E-02
-4.2655E-02,5.0125318308E-02
-4.2650E-02,3.2108484452E-02
-4.2645E-02,5.0604415664E-02
-4.2640E-02,4.0813137044E-02
-4.2634E-02,4.1358133293E-02
-4.2629E-02,3.9557586687E-02
-4.2624E-02,4.5920272702E-02
-4.2619E-02,4.5621295811E-02
-4.2614E-02,3.7319723197E-02
-4.2609E-02,3.4488693368E-02
-4.2604E-02,3.6318365187E-02
-4.2599E-02,3.3186908882E-02
-4.2593E-02,3.2989927456E-02
-4.2588E-02,3.2663980656E-02
-4.2583E-02,3.4611087927E-02
-4.2578E-02,2.9669977427E-02
-4.2573E-02,3.2733522585E-02
-4.2568E-02,3.5475736727E-02
-4.2563E-02,3.5345932118E-02
-4.2558E-02,3.4522634636E-02
-4.2552E-02,3.6584974373E-02
-4.2547E-02,4.3296266490E-02
-4.2542E-02,4.2859826985E-02
-4.2537E-02,3.0965563030E-02
-4.2532E-02,3.1699510767E-02
-4.2527E-02,2.7234607989E-02
-4.2522E-02,2.8872066754E-02
-4.2517E-02,2.8156734739E-02
-4.2512E-02,3.7818084773E-02
-4.2506E-02,4.1986070596E-02
-4.2501E-02,2.7225443179E-02
-4.2496E-02,3.3679538876E-02
-4.2491E-02,3.2364317119E-02
-4.2486E-02,2.8823839445E-02
-4.2481E-02,2.8025833405E-02
-4.2476E-02,2.7243744189E-02
-4.2471E-02,3.0947500439E-02
-4.2465E-02,2.9645382166E-02
-4.2460E-02,2.7726265235E-02
-4.2455E-02,3.2985073254E-02
-4.2450E-02,3.0530706625E-02
-4.2445E-02,2.8417087821E-02
-4.2440E-02,3.0742613053E-02
-4.2435E-02,2.6649967500E-02
-4.2430E-02,3.1959320256E-02
-4.2424E-02,3.0502945166E-02
-4.2419E-02,2.7402893356E-02
-4.2414E-02,2.7879940311E-02
-4.2409E-02,2.7272507006E-02
-4.2404E-02,3.0226160275E-02
-4.2399E-02,2.8614708209E-02
-4.2394E-02,2.8430038718E-02
-4.2389E-02,2.5451628064E-02
-4.2384E-02,2.9996992342E-02
-4.2378E-02,2.6824718777E-02
-4.2373E-02,3.0750967240E-02
-4.2368E-02,2.9341865785E-02
-4.2363E-02,3.1351400576E-02
-4.2358E-02,2.6402317359E-02
-4.2353E-02,2.8273083003E-02
-4.2348E-02,2.7883392612E-02
-4.2343E-02,2.9344288118E-02
-4.2337E-02,3.0036569826E-02
-4.2332E-02,2.7494770337E-02
-4.2327E-02,2.5988098465E-02
-4.2322E-02,2.7673860833E-02
-4.2317E-02,2.7258249575E-02
-4.2312E-02,2.6044460616E-02
-4.2307E-02,3.0995393962E-02
-4.2302E-02,2.8172308240E-02
-4.2297E-02,2.7206646259E-02
-4.2291E-02,2.8713566086E-02
-4.2286E-02,2.8757606765E-02
-4.2281E-02,2.6270872431E-02
-4.2276E-02,3.0211921918E-02
-4.2271E-02,2.8491407659E-02
-4.2266E-02,2.6092926344E-02
-4.2261E-02,2.6352821663E-02
-4.2256E-02,2.4673401229E-02
-4.2250E-02,2.4822079052E-02
-4.2245E-02,2.8320814401E-02
-4.2240E-02,2.7387768081E-02
-4.2235E-02,2.8437258033E-02
-4.2230E-02,2.7623182581E-02
-4.2225E-02,2.5699097007E-02
-4.2220E-02,2.7158552464E-02
-4.2215E-02,2.7498575498E-02
-4.2209E-02,2.8227154049E-02
-4.2204E-02,2.7173363026E-02
-4.2199E-02,2.9192272435E-02
-4.2194E-02,2.6573816607E-02
